BMT:4th Avenue:25 St:R:40.660323:-73.997952
BMT:4th Avenue:36 St:N,R:40.654365:-74.004113
BMT:4th Avenue:4 Av-9 St:F,G,R:40.670387:-73.988480
BMT:4th Avenue:45 St:R:40.649389:-74.009333
BMT:4th Avenue:53 St:R:40.645619:-74.013688
BMT:4th Avenue:59 St:N,R:40.641633:-74.017362
BMT:4th Avenue:77 St:R:40.629503:-74.025452
BMT:4th Avenue:86 St:R:40.623498:-74.028204
BMT:4th Avenue:95 St:R:40.617363:-74.030404
BMT:4th Avenue:Atlantic Av-Pacific St:B,D,N,Q,R,2,3,4,5:40.683928:-73.978412
BMT:4th Avenue:Bay Ridge Av:R:40.635468:-74.023313
BMT:4th Avenue:DeKalb Av:Q,R:40.689817:-73.981082
BMT:4th Avenue:Prospect Av:R:40.665299:-73.992729
BMT:4th Avenue:Union St:R:40.677171:-73.983020
BMT:Astoria:30 Av:N,Q:40.766963:-73.921192
BMT:Astoria:36 Av:N,Q:40.756796:-73.929740
BMT:Astoria:39 Av:N,Q:40.752901:-73.932903
BMT:Astoria:Astoria Blvd:N,Q:40.770870:-73.916935
BMT:Astoria:Astoria-Ditmars Blvd:N,Q:40.775025:-73.911891
BMT:Astoria:Broadway:N,Q:40.762217:-73.925349
BMT:Brighton:7 Av:B,Q:40.677324:-73.972212
BMT:Brighton:Atlantic Av:B,D,N,Q,R,2,3,4,5:40.685222:-73.977628
BMT:Brighton:Avenue H:B,Q:40.629884:-73.961882
BMT:Brighton:Avenue J:B,Q:40.625140:-73.960798
BMT:Brighton:Avenue M:B,Q:40.617928:-73.959454
BMT:Brighton:Avenue U:B,Q:40.598991:-73.955828
BMT:Brighton:Beverly Rd:B,Q:40.644272:-73.964528
BMT:Brighton:Brighton Beach:B,Q:40.577986:-73.960258
BMT:Brighton:Church Av:B,Q:40.649427:-73.963356
BMT:Brighton:Cortelyou Rd:B,Q:40.641314:-73.963996
BMT:Brighton:Kings Hwy:B,Q:40.608835:-73.957769
BMT:Brighton:Neck Rd:B,Q:40.595020:-73.955120
BMT:Brighton:Newkirk Av:B,Q:40.635034:-73.962736
BMT:Brighton:Ocean Pkwy:Q:40.576234:-73.967561
BMT:Brighton:Parkside Av:B,Q:40.655221:-73.961516
BMT:Brighton:Prospect Park:B,Q,FS:40.662727:-73.962249
BMT:Brighton:Sheepshead Bay:B,Q:40.585734:-73.954371
BMT:Broadway:14 St-Union Sq:L,N,Q,R,4,5,6:40.735184:-73.989793
BMT:Broadway:23 St:N,R:40.741208:-73.989639
BMT:Broadway:28 St:N,R:40.745089:-73.988472
BMT:Broadway:34 St-Herald Sq:B,D,F,M,N,Q,R:40.749891:-73.987495
BMT:Broadway:49 St:N,Q,R:40.760454:-73.983388
BMT:Broadway:57 St-7 Av:N,Q,R:40.765639:-73.979764
BMT:Broadway:5th Av/59 St:N,Q,R:40.764657:-73.972229
BMT:Broadway:8 St-NYU:N,R:40.730578:-73.992216
BMT:Broadway:Canal St:J,N,Q,R,Z,6:40.719498:-74.001606
BMT:Broadway:City Hall:R:40.713521:-74.006697
BMT:Broadway:Cortlandt St:R:40.711065:-74.010644
BMT:Broadway:Court St:R,2,3,4,5:40.694416:-73.992619
BMT:Broadway:Jay St-MetroTech:A,C,F,R:40.692315:-73.985172
BMT:Broadway:Lexington Av/59 St:N,Q,R,4,5,6:40.762255:-73.965918
BMT:Broadway:Prince St:N,R:40.724220:-73.997633
BMT:Broadway:Rector St:R:40.706345:-74.014000
BMT:Broadway:Times Sq-42 St:A,C,E,N,Q,R,GS,1,2,3,7:40.754301:-73.986623
BMT:Broadway:Whitehall St-South Ferry:R,1:40.701938:-74.012588
BMT:Canarsie:1 Av:L:40.731397:-73.982112
BMT:Canarsie:3 Av:L:40.733122:-73.986548
BMT:Canarsie:6 Av:F,L,M,1,2,3:40.737149:-73.996578
BMT:Canarsie:8 Av:A,C,E,L:40.739550:-74.002389
BMT:Canarsie:Atlantic Av:L:40.675380:-73.902612
BMT:Canarsie:Bedford Av:L:40.717821:-73.957568
BMT:Canarsie:Bushwick Av-Aberdeen St:L:40.682300:-73.905149
BMT:Canarsie:Canarsie-Rockaway Pkwy:L:40.645957:-73.901755
BMT:Canarsie:DeKalb Av:L:40.704379:-73.919026
BMT:Canarsie:East 105 St:L:40.651278:-73.898862
BMT:Canarsie:Graham Av:L:40.714439:-73.944190
BMT:Canarsie:Grand St:L:40.711912:-73.940433
BMT:Canarsie:Halsey St:L:40.695201:-73.903764
BMT:Canarsie:Jefferson St:L:40.707229:-73.923725
BMT:Canarsie:Livonia Av:L:40.663749:-73.900482
BMT:Canarsie:Lorimer St:G,L:40.713908:-73.949262
BMT:Canarsie:Montrose Av:L:40.707819:-73.939749
BMT:Canarsie:Morgan Av:L:40.706073:-73.933633
BMT:Canarsie:Myrtle-Wyckoff Avs:L,M:40.699468:-73.910648
BMT:Canarsie:New Lots Av:L:40.659041:-73.899409
BMT:Canarsie:Sutter Av:L:40.668527:-73.901765
BMT:Canarsie:Wilson Av:L:40.688805:-73.904741
BMT:Coney Island:Coney Island-Stillwell Av:D,F,N,Q:40.576900:-73.980846
BMT:Coney Island:West 8 St-NY Aquarium:F,Q:40.575929:-73.976747
BMT:Franklin Shuttle:Botanic Garden:FS,2,3,4,5:40.670588:-73.959093
BMT:Franklin Shuttle:Park Pl:FS:40.675208:-73.957591
BMT:Jamaica:104 St:J,Z:40.695267:-73.843223
BMT:Jamaica:111 St:J:40.696771:-73.837042
BMT:Jamaica:121 St:J,Z:40.700520:-73.829231
BMT:Jamaica:75 St-Elderts Ln:J,Z:40.691285:-73.866425
BMT:Jamaica:85 St-Forest Pkwy:J:40.692381:-73.858975
BMT:Jamaica:Alabama Av:J:40.676803:-73.899510
BMT:Jamaica:Chauncey St:J,Z:40.683417:-73.911242
BMT:Jamaica:Cleveland St:J:40.679530:-73.885716
BMT:Jamaica:Crescent St:J,Z:40.683478:-73.872548
BMT:Jamaica:Cypress Hills:J:40.690142:-73.871630
BMT:Jamaica:Flushing Av:J,M:40.700847:-73.941710
BMT:Jamaica:Gates Av:J,Z:40.690142:-73.923062
BMT:Jamaica:Halsey St:J:40.685946:-73.915713
BMT:Jamaica:Hewes St:J,M:40.707248:-73.954326
BMT:Jamaica:Kosciusko St:J:40.692929:-73.927940
BMT:Jamaica:Lorimer St:J,M:40.703454:-73.946536
BMT:Jamaica:Marcy Av:J,M,Z:40.708788:-73.958826
BMT:Jamaica:Myrtle Av:J,M,Z:40.696893:-73.935461
BMT:Jamaica:Norwood Av:J,Z:40.681643:-73.878984
BMT:Jamaica:Van Siclen Av:J,Z:40.677864:-73.891566
BMT:Jamaica:Woodhaven Blvd:J,Z:40.694077:-73.850476
BMT:Myrtle Avenue:Central Av:M:40.698033:-73.926371
BMT:Myrtle Avenue:Forest Av:M:40.704729:-73.902243
BMT:Myrtle Avenue:Fresh Pond Rd:M:40.706115:-73.895559
BMT:Myrtle Avenue:Knickerbocker Av:M:40.698717:-73.918655
BMT:Myrtle Avenue:Middle Village-Metropolitan Av:M:40.712082:-73.889540
BMT:Myrtle Avenue:Seneca Av:M:40.702780:-73.907515
